flight_id,airline,flight_number,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,weather_condition,temperature_c,wind_speed_kts,visibility_km,airport_traffic_index,prior_leg_delay_min,aircraft_age_years,maintenance_overdue_flag,actual_departure_delay_min
FL-1000,NimbusAero,NI214,JFK,LHR,2026-01-12 09:29:00,2026-01-12 12:08:00,Overcast,25.4,31.1,9.0,1.78,7,9.6,0,1
FL-1001,AeroGlobal,AE338,DXB,JFK,2026-01-26 19:01:00,2026-01-26 21:27:00,Fog,21.2,25.4,2.6,6.3,2,17.9,1,76
FL-1002,NimbusAero,NI532,LHR,DFW,2026-01-08 07:49:00,2026-01-08 10:24:00,High Winds,6.2,6.0,1.4,8.63,0,13.5,0,69
FL-1003,NimbusAero,NI570,DXB,LAX,2026-01-18 11:27:00,2026-01-18 12:52:00,Snow,4.1,29.0,8.9,4.25,18,4.6,0,62
FL-1004,NimbusAero,NI333,DFW,LAX,2026-01-11 20:16:00,2026-01-11 21:52:00,Thunderstorm,3.3,29.3,4.0,4.33,0,5.0,0,48
FL-1005,NimbusAero,NI763,LAX,ATL,2026-01-25 13:25:00,2026-01-25 20:23:00,Overcast,-2.2,18.3,9.9,6.76,3,12.5,0,24
FL-1006,SkyWings,SK334,JFK,CDG,2026-01-19 12:10:00,2026-01-19 15:12:00,Clear,0.1,42.5,8.8,3.83,5,14.6,0,0
FL-1007,NimbusAero,NI569,ORD,LHR,2026-01-07 14:30:00,2026-01-07 17:21:00,Fog,16.9,13.3,6.1,9.08,5,9.1,0,65
FL-1008,AeroGlobal,AE621,HND,LAX,2026-01-03 09:27:00,2026-01-03 11:08:00,Overcast,20.1,36.1,4.5,1.57,14,8.7,0,14
FL-1009,TransFlight,TR357,DXB,JFK,2026-01-06 11:07:00,2026-01-06 17:41:00,Snow,26.0,35.0,3.7,3.64,6,3.9,0,33
FL-1010,NimbusAero,NI996,DFW,FRA,2026-01-09 09:08:00,2026-01-09 14:12:00,Clear,31.8,14.8,6.6,6.48,9,3.8,0,22
FL-1011,TransFlight,TR897,DXB,JFK,2026-01-28 12:12:00,2026-01-28 15:42:00,Thunderstorm,-9.1,42.0,8.8,8.48,10,7.1,0,75
